state,city,station,,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Bihar,Arrah,"New DM Office, Arrah - BSPCB",,25.5626095,84.663264,SO2,8,10,9
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",,24.75746,84.366208,NO2,2,3,2
Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",,25.42742023,86.13886079,NO2,32,117,68
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",,26.80365,84.51954,NH3,4,6,5
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",,26.80365,84.51954,OZONE,22,28,27
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",,25.251013,86.989001,SO2,40,69,55
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",,26.10887,91.589544,CO,8,54,20
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",,26.1875,91.744194,SO2,26,52,37
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",,26.349082,92.68449,PM10,25,163,83
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",,26.446912,91.439057,PM10,97,500,261
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",,25.265194,87.012947,SO2,22,55,43
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",,25.265194,87.012947,CO,25,61,37
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",,25.204762,85.51496,SO2,8,10,10
Bihar,Buxar,"Charitra Van, Buxar - BSPCB",,25.56752,83.966379,PM2.5,7,263,93
Bihar,Buxar,"Charitra Van, Buxar - BSPCB",,25.56752,83.966379,NO2,4,5,5
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",,25.7808257,84.7446768,PM2.5,38,220,104
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",,11.654054,92.734055,OZONE,4,65,50
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,PM10,25,167,62
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,NO2,25,43,30
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",,14.675886,77.593027,CO,14,18,18
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",,13.20488,79.097889,SO2,2,3,3
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",,13.20488,79.097889,CO,6,14,6
Bihar,Gaya,"Collectorate, Gaya - BSPCB",,24.7955,84.9994,NO2,4,12,8
Bihar,Gaya,"Collectorate, Gaya - BSPCB",,24.7955,84.9994,OZONE,19,21,20
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",,24.792403,84.992416,OZONE,1,19,9
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",,24.762518,84.982348,PM2.5,20,71,49
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",,24.762518,84.982348,SO2,8,9,8
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",,25.697189,85.2459,PM10,106,207,152
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",,16.536107,80.594233,NO2,12,12,12
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",,16.486692,80.699436,NO2,12,264,68
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",,16.486692,80.699436,OZONE,12,26,12
Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",,16.554731,80.64911,SO2,18,26,21
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,17.72,83.3,PM10,45,177,90
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",,17.72,83.3,SO2,6,12,8
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",,14.465052,78.824187,NH3,4,6,5
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",,13.67,79.35,NH3,1,2,2
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",,13.67,79.35,CO,3,132,61
Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)",,13.67,79.35,OZONE,14,64,55
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",,26.987634,94.636574,CO,2,44,14
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",,26.987634,94.636574,OZONE,1,34,21
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",,26.146529,87.454184,CO,21,84,27
Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",,11.654054,92.734055,PM2.5,10,35,22
Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",,22.118125,83.140608,CO,26,66,39
