country,state,city,station,,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",,13.20488,79.097889,NO2,11,16,14
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",,14.465052,78.824187,PM2.5,40,60,48
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",,14.465052,78.824187,PM10,38,57,45
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",,24.792403,84.992416,PM2.5,28,354,157
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",,24.792403,84.992416,PM10,71,306,158
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",,24.762518,84.982348,OZONE,11,48,42
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",,25.697189,85.2459,NO2,19,39,27
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",,25.697189,85.2459,CO,20,62,28
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",,25.265194,87.012947,PM2.5,15,302,113
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",,25.204762,85.51496,PM10,66,183,120
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",,25.204762,85.51496,NO2,9,10,9
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",,25.56752,83.966379,SO2,4,17,10
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB",,25.42742023,86.13886079,PM2.5,37,287,137
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",,25.251013,86.989001,CO,14,20,17
India,Andaman and Nicobar,Sri Vijaya Puram,"Police Line, Sri Vijaya Puram - ANPCC",,11.654054,92.734055,NH3,1,3,1
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,25.610369,85.132568,PM2.5,72,312,200
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,25.610369,85.132568,OZONE,41,44,43
India,Bihar,Patna,"Muradpur, Patna - BSPCB",,25.619651,85.147382,PM10,114,410,211
India,Bihar,Patna,"Muradpur, Patna - BSPCB",,25.619651,85.147382,NH3,1,9,3
India,Bihar,Patna,"Muradpur, Patna - BSPCB",,25.619651,85.147382,CO,36,66,50
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",,25.599486,85.113666,PM10,70,143,114
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",,25.599486,85.113666,SO2,9,24,15
India,Bihar,Patna,"Samanpura, Patna - BSPCB",,25.596727,85.085624,PM2.5,57,297,191
India,Bihar,Patna,"Samanpura, Patna - BSPCB",,25.596727,85.085624,PM10,122,500,245
India,Bihar,Patna,"Samanpura, Patna - BSPCB",,25.596727,85.085624,NO2,38,51,45
India,Bihar,Patna,"Samanpura, Patna - BSPCB",,25.596727,85.085624,CO,13,104,32
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,NO2,17,20,19
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",,25.560083,87.553265,SO2,15,22,19
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",,25.560083,87.553265,CO,4,41,19
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",,25.560083,87.553265,OZONE,20,49,45
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",,26.0881305,87.93840336,NO2,22,28,25
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",,27.308328,84.531742,PM2.5,27,180,59
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",,26.63086,84.90051,PM2.5,3,354,162
India,Bihar,Munger,"Town Hall, Munger - BSPCB",,25.376776,86.471523,PM10,59,137,101
India,Bihar,Munger,"Town Hall, Munger - BSPCB",,25.376776,86.471523,NH3,5,7,6
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",,30.719859,76.738637,OZONE,NA,NA,NA
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,PM10,41,157,74
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,SO2,8,13,11
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",,22.08815,82.13737,CO,24,42,39
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",,22.118125,83.140608,PM10,NA,NA,NA
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",,22.118125,83.140608,NH3,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",,21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",,22.06631475,83.33820077,NH3,NA,NA,NA
India,Delhi,Delhi,"Alipur, Delhi - DPCC",,28.815329,77.15301,PM2.5,55,413,224
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",,28.647622,77.315809,PM10,163,420,279
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",,28.4706914,77.1099364,PM2.5,29,433,267
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,SO2,13,18,17
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,CO,22,117,50
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",,25.0328,85.41948,NO2,8,10,9
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",,25.892357,86.590325,NO2,5,9,7
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",,25.892357,86.590325,SO2,9,18,15
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",,25.859655,85.77944,PM2.5,43,492,236
